,detail_id,transaction_id,item_id,quantity,payment_date,customer_id,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref,item_name,item_price,price,payment_month
0,0,T0000000113,S005,1,2019-02-01 01:36:57,PL563502,井本 芳正,2019-01-07 14:34:35,いもと よしまさ,imoto_yoshimasa@example.com,M,30,1989/7/15,熊本県,PC-E,210000,210000,201902
1,1,T0000000114,S001,1,2019-02-01 01:37:23,HD678019,三船 六郎,2019-01-27 18:00:11,みふね ろくろう,mifune_rokurou@example.com,M,73,1945/11/29,京都府,PC-A,50000,50000,201902
2,2,T0000000115,S003,1,2019-02-01 02:34:19,HD298120,山根 小雁,2019-01-11 08:16:02,やまね こがん,yamane_kogan@example.com,M,42,1977/5/17,茨城県,PC-C,120000,120000,201902
3,3,T0000000116,S005,1,2019-02-01 02:47:23,IK452215,池田 菜摘,2019-01-10 05:07:38,いけだ なつみ,ikeda_natsumi@example.com,F,47,1972/3/17,兵庫県,PC-E,210000,210000,201902
4,4,T0000000117,S002,2,2019-02-01 04:33:46,PL542865,栗田 憲一,2019-01-25 06:46:05,くりた けんいち,kurita_kenichi@example.com,M,74,1944/12/17,長崎県,PC-B,85000,170000,201902
5,5,T0000000118,S003,1,2019-02-01 04:36:50,GD372798,藤村 充則,2019-01-24 07:40:30,ふじむら みつのり,fujimura_mitsunori@example.com,M,36,1983/7/18,福島県,PC-C,120000,120000,201902
6,6,T0000000119,S004,1,2019-02-01 05:25:18,IK782104,榎本 薫,2019-01-14 11:46:47,えのもと かおる,enomoto_kaoru@example.com,M,58,1960/8/10,三重県,PC-D,180000,180000,201902
7,7,T0000000120,S001,1,2019-02-01 06:22:39,IK624245,江崎 ジローラモ,2019-01-16 07:24:12,えざき じろーらも,ezaki_girolamo@example.com,M,67,1951/8/24,静岡県,PC-A,50000,50000,201902
8,8,T0000000121,S005,1,2019-02-01 06:40:14,HD218970,岡田 敏也,2019-01-08 18:22:28,おかだ としや,okada_toshiya@example.com,M,23,1996/6/11,茨城県,PC-E,210000,210000,201902
9,9,T0000000122,S002,1,2019-02-01 08:10:23,AS912483,玉山 まさみ,2019-01-09 09:06:04,たまやま まさみ,tamayama_masami@example.com,F,22,1997/4/26,東京都,PC-B,85000,85000,201902
10,10,T0000000123,S001,1,2019-02-01 09:32:27,OA336650,安田 直人,2019-01-01 15:57:30,やすだ なおと,yasuda_naoto@example.com,M,68,1950/8/13,神奈川県,PC-A,50000,50000,201902
11,11,T0000000124,S003,1,2019-02-01 11:27:33,OA207651,金沢 友香,2019-01-02 15:56:26,かねざわ ともか,kanezawa_tomoka@example.com,F,72,1947/3/1,沖縄県,PC-C,120000,120000,201902
